Data do Jogo,Adversário,V ou D,Casa/Fora,PTS,REB,AST,Tentativas de Cestas de 3 PTS,Cestas de 3 PTS Marcados,Tempo de Permanência do Jogador em Quadra
"JAN 17, 2025",LAL,D,Fora,6,5,7,0,0,27
"JAN 14, 2025",POR,V,Fora,5,9,11,0,0,26
"JAN 12, 2025",UTA,D,Fora,14,6,9,0,0,32
"JAN 10, 2025",DEN,D,Fora,10,4,7,0,0,22
"JAN 01, 2025",TOR,D,Fora,2,2,6,0,0,25
"DEC 29, 2024",ORL,D,Fora,6,7,7,0,0,31
"DEC 26, 2024",MIL,V,Fora,8,4,9,0,0,29
"DEC 23, 2024",MIA,D,Fora,4,2,9,0,0,30
"DEC 21, 2024",UTA,D,Casa,15,6,10,0,0,29
"DEC 19, 2024",TOR,V,Fora,12,5,7,0,0,32
"DEC 16, 2024",CLE,D,Casa,10,4,8,0,0,31
"DEC 13, 2024",MEM,D,Fora,2,4,8,0,0,21
"DEC 08, 2024",MIL,D,Casa,0,3,1,0,0,18
"DEC 04, 2024",IND,V,Casa,7,7,9,0,0,21
"DEC 01, 2024",ORL,D,Casa,0,2,5,0,0,12
"NOV 29, 2024",ORL,D,Casa,4,7,8,0,0,26
"NOV 27, 2024",PHX,V,Fora,14,9,8,0,0,27
"NOV 24, 2024",SAC,V,Fora,4,3,5,0,0,27
"NOV 22, 2024",PHI,D,Fora,2,4,4,0,0,26
"NOV 19, 2024",CHA,V,Casa,10,9,5,0,0,26
"NOV 17, 2024",NYK,D,Fora,0,4,8,0,0,22
"NOV 15, 2024",NYK,D,Fora,4,7,5,0,0,25
"NOV 11, 2024",NOP,V,Fora,6,5,12,0,0,22
"NOV 08, 2024",BOS,D,Fora,8,6,8,0,0,27
"NOV 03, 2024",DET,D,Casa,4,6,6,0,0,24
"NOV 01, 2024",CHI,V,Casa,8,8,11,0,0,26
"OCT 30, 2024",MEM,V,Fora,8,5,3,0,0,25
"OCT 27, 2024",MIL,V,Casa,2,6,6,0,0,24
"OCT 25, 2024",ORL,D,Fora,7,6,3,0,0,24
"OCT 23, 2024",ATL,D,Fora,6,5,8,0,0,24
