Data do Jogo,Adversário,V ou D,Casa/Fora,PTS,REB,AST,Tentativas de Cestas de 3 PTS,Cestas de 3 PTS Marcados,Tempo de Permanência do Jogador em Quadra
"JAN 02, 2025",MIL,V,Fora,24,7,2,11,2,22
"DEC 29, 2024",ORL,D,Fora,25,6,5,7,3,25
"NOV 25, 2024",GSW,V,Fora,23,3,1,7,3,23
"NOV 24, 2024",SAC,V,Fora,34,2,6,10,4,36
"NOV 22, 2024",PHI,D,Fora,18,3,7,7,2,30
"NOV 17, 2024",NYK,D,Fora,16,5,3,4,1,33
"NOV 15, 2024",NYK,D,Fora,43,2,3,10,7,39
"NOV 13, 2024",BOS,D,Casa,17,3,3,5,3,28
"NOV 11, 2024",NOP,V,Fora,17,7,2,5,4,33
"NOV 09, 2024",CLE,D,Fora,22,2,6,7,2,36
"NOV 08, 2024",BOS,D,Fora,31,3,1,9,4,38
"NOV 04, 2024",MEM,V,Casa,13,2,6,4,0,34
"NOV 03, 2024",DET,D,Casa,17,2,2,7,1,31
"NOV 01, 2024",CHI,V,Casa,32,0,4,11,4,32
"OCT 30, 2024",MEM,V,Fora,19,2,2,6,1,33
"OCT 29, 2024",DEN,D,Casa,26,3,3,8,1,38
"OCT 27, 2024",MIL,V,Casa,32,5,2,8,2,35
"OCT 25, 2024",ORL,D,Fora,24,6,3,5,3,35
"OCT 23, 2024",ATL,D,Fora,36,5,3,13,7,34
