Data do Jogo,Adversário,V ou D,Casa/Fora,PTS,REB,AST,Tentativas de Cestas de 3 PTS,Cestas de 3 PTS Marcados,Tempo de Permanência do Jogador em Quadra
"JAN 21, 2025",NYK,D,Casa,16,3,2,9,2,35
"JAN 19, 2025",OKC,D,Fora,15,2,2,8,3,25
"JAN 14, 2025",POR,V,Fora,24,1,2,9,2,27
"JAN 02, 2025",MIL,V,Fora,26,5,0,12,6,39
"JAN 01, 2025",TOR,D,Fora,24,1,3,5,3,28
"DEC 29, 2024",ORL,D,Fora,9,3,4,5,2,25
"DEC 26, 2024",MIL,V,Fora,29,5,3,6,4,35
"DEC 23, 2024",MIA,D,Fora,19,3,2,7,3,33
"DEC 21, 2024",UTA,D,Casa,18,3,5,9,2,38
"DEC 19, 2024",TOR,V,Fora,33,10,6,10,4,34
"DEC 16, 2024",CLE,D,Casa,22,1,5,6,3,28
"DEC 13, 2024",MEM,D,Fora,12,7,3,6,2,31
"DEC 08, 2024",MIL,D,Casa,26,3,2,8,4,38
"DEC 04, 2024",IND,V,Casa,26,7,1,13,7,35
"DEC 01, 2024",ORL,D,Casa,26,4,1,5,2,36
"NOV 29, 2024",ORL,D,Casa,14,3,4,5,3,29
"NOV 27, 2024",PHX,V,Fora,11,8,6,7,1,31
"NOV 25, 2024",GSW,V,Fora,5,2,2,1,1,14
"NOV 24, 2024",SAC,V,Fora,16,6,4,6,3,34
"NOV 22, 2024",PHI,D,Fora,37,1,2,13,9,36
"NOV 19, 2024",CHA,V,Casa,34,5,4,12,6,38
"NOV 17, 2024",NYK,D,Fora,22,5,5,7,4,31
"NOV 15, 2024",NYK,D,Fora,17,5,3,5,1,36
"NOV 13, 2024",BOS,D,Casa,9,4,3,5,1,26
"NOV 11, 2024",NOP,V,Fora,15,1,0,7,3,31
"NOV 09, 2024",CLE,D,Fora,23,5,1,7,4,31
"NOV 08, 2024",BOS,D,Fora,18,8,4,8,3,40
"NOV 04, 2024",MEM,V,Casa,20,3,2,4,3,36
"NOV 03, 2024",DET,D,Casa,26,1,3,12,3,30
"NOV 01, 2024",CHI,V,Casa,14,6,5,7,2,32
"OCT 30, 2024",MEM,V,Fora,14,2,4,8,4,35
"OCT 29, 2024",DEN,D,Casa,20,7,5,10,6,40
"OCT 27, 2024",MIL,V,Casa,13,6,3,9,3,29
"OCT 25, 2024",ORL,D,Fora,12,2,2,10,2,35
"OCT 23, 2024",ATL,D,Fora,14,4,0,6,1,32
