Data do Jogo,Adversário,V ou D,Casa/Fora,PTS,REB,AST,Tentativas de Cestas de 3 PTS,Cestas de 3 PTS Marcados,Tempo de Permanência do Jogador em Quadra
"JAN 21, 2025",NYK,D,Casa,23,2,10,11,4,31
"JAN 19, 2025",OKC,D,Fora,9,4,7,2,0,24
"JAN 17, 2025",LAL,D,Fora,19,6,8,10,5,27
"JAN 14, 2025",POR,V,Fora,13,3,9,6,3,21
"JAN 04, 2025",PHI,D,Casa,5,1,4,2,1,14
"JAN 02, 2025",MIL,V,Fora,11,3,12,4,0,28
"JAN 01, 2025",TOR,D,Fora,22,2,8,6,2,26
"DEC 28, 2024",SAC,V,Casa,9,2,4,4,1,28
"DEC 23, 2024",DET,D,Casa,5,0,5,4,1,15
"DEC 21, 2024",SAC,V,Fora,20,4,5,7,3,30
"DEC 19, 2024",SAC,V,Fora,16,6,1,6,2,23
"DEC 15, 2024",MEM,V,Casa,7,3,2,6,2,17
"DEC 13, 2024",MIN,D,Fora,5,4,1,7,1,20
"DEC 08, 2024",POR,V,Casa,28,5,14,10,5,34
"DEC 06, 2024",ATL,D,Fora,8,3,3,4,2,21
"DEC 04, 2024",MIA,D,Fora,12,1,4,4,1,30
"DEC 02, 2024",MIN,D,Fora,20,3,5,5,4,34
"NOV 29, 2024",OKC,D,Casa,17,9,3,9,4,26
"NOV 27, 2024",SAS,V,Fora,17,1,5,6,3,26
"NOV 26, 2024",PHX,D,Fora,16,3,4,6,1,29
"NOV 23, 2024",DEN,D,Casa,7,2,5,6,1,18
"NOV 21, 2024",ORL,D,Casa,7,1,6,7,1,23
"NOV 19, 2024",UTA,V,Casa,8,6,6,4,0,26
"NOV 16, 2024",NOP,V,Fora,7,1,5,3,1,21
"NOV 15, 2024",SAS,V,Fora,13,2,6,3,2,30
"NOV 13, 2024",MEM,V,Casa,8,2,2,6,2,20
"NOV 10, 2024",TOR,V,Casa,15,2,1,9,3,27
"NOV 08, 2024",PHI,V,Casa,18,2,3,4,2,25
"NOV 06, 2024",MEM,D,Fora,12,1,3,9,2,22
"NOV 04, 2024",DET,D,Fora,11,3,8,5,2,33
"NOV 01, 2024",TOR,V,Fora,19,3,6,6,3,32
"OCT 30, 2024",CLE,D,Fora,10,3,5,3,0,24
"OCT 28, 2024",PHX,D,Fora,14,1,9,9,2,33
"OCT 26, 2024",SAC,V,Casa,16,4,5,6,3,32
"OCT 25, 2024",PHX,V,Casa,5,2,5,3,1,29
"OCT 22, 2024",MIN,V,Casa,9,1,5,7,1,34
