Data do Jogo,Adversário,V ou D,Casa/Fora,PTS,REB,AST,Tentativas de Cestas de 3 PTS,Cestas de 3 PTS Marcados,Tempo de Permanência do Jogador em Quadra
"JAN 22, 2025",PHX,D,Casa,8,9,2,0,0,22
"JAN 21, 2025",NYK,D,Casa,10,3,0,0,0,14
"JAN 19, 2025",OKC,D,Fora,9,7,2,0,0,18
"JAN 17, 2025",LAL,D,Fora,1,5,1,0,0,14
"JAN 15, 2025",LAC,D,Fora,12,14,3,1,0,28
"JAN 14, 2025",POR,V,Fora,8,7,1,1,0,18
"JAN 12, 2025",UTA,D,Fora,12,4,0,1,0,16
"JAN 10, 2025",DEN,D,Fora,7,5,3,3,0,19
"JAN 06, 2025",IND,D,Casa,16,13,5,1,0,22
"JAN 04, 2025",PHI,D,Casa,5,5,2,4,1,25
"JAN 02, 2025",MIL,V,Fora,6,6,4,1,0,20
"JAN 01, 2025",TOR,D,Fora,11,8,2,1,0,18
"DEC 29, 2024",ORL,D,Fora,8,6,1,2,0,16
"DEC 27, 2024",SAS,D,Casa,4,6,2,0,0,13
"DEC 26, 2024",MIL,V,Fora,0,3,0,0,0,11
"DEC 23, 2024",MIA,D,Fora,6,7,1,2,0,15
"DEC 21, 2024",UTA,D,Casa,6,9,0,0,0,19
"DEC 19, 2024",TOR,V,Fora,5,9,0,0,0,10
"DEC 16, 2024",CLE,D,Casa,15,7,1,3,1,20
"DEC 13, 2024",MEM,D,Fora,12,3,1,4,0,17
"DEC 08, 2024",MIL,D,Casa,4,1,0,0,0,11
"DEC 04, 2024",IND,V,Casa,7,6,1,2,1,17
"DEC 02, 2024",CHI,D,Fora,4,2,2,0,0,16
