Data do Jogo,Adversário,V ou D,Casa/Fora,PTS,REB,AST,Tentativas de Cestas de 3 PTS,Cestas de 3 PTS Marcados,Tempo de Permanência do Jogador em Quadra
"JAN 22, 2025",PHX,D,Casa,15,4,3,8,1,34
"JAN 21, 2025",NYK,D,Casa,3,5,2,3,0,28
"JAN 19, 2025",OKC,D,Fora,8,3,2,7,2,24
"JAN 17, 2025",LAL,D,Fora,11,5,2,4,3,27
"JAN 15, 2025",LAC,D,Fora,16,3,1,4,1,34
"JAN 14, 2025",POR,V,Fora,14,4,1,3,2,23
"JAN 12, 2025",UTA,D,Fora,7,3,1,5,1,24
"JAN 10, 2025",DEN,D,Fora,0,3,1,4,0,17
"JAN 08, 2025",DET,D,Casa,7,2,2,6,1,32
"JAN 06, 2025",IND,D,Casa,8,4,3,4,0,31
"JAN 04, 2025",PHI,D,Casa,11,4,0,8,3,33
"JAN 02, 2025",MIL,V,Fora,13,4,1,4,1,37
"JAN 01, 2025",TOR,D,Fora,10,1,0,5,1,31
"DEC 29, 2024",ORL,D,Fora,16,1,1,5,4,31
"DEC 27, 2024",SAS,D,Casa,11,2,3,6,3,39
"DEC 26, 2024",MIL,V,Fora,4,4,5,4,0,32
"DEC 23, 2024",MIA,D,Fora,8,3,1,3,0,30
"DEC 21, 2024",UTA,D,Casa,9,7,2,5,1,23
"DEC 19, 2024",TOR,V,Fora,6,2,1,7,0,27
"DEC 16, 2024",CLE,D,Casa,13,1,2,8,4,29
"DEC 13, 2024",MEM,D,Fora,15,2,4,8,3,29
"DEC 08, 2024",MIL,D,Casa,3,2,3,5,1,26
"DEC 04, 2024",IND,V,Casa,11,3,3,5,1,38
"DEC 02, 2024",CHI,D,Fora,2,6,0,3,0,26
"DEC 01, 2024",ORL,D,Casa,5,3,0,2,1,22
"NOV 29, 2024",ORL,D,Casa,11,2,1,3,3,31
"NOV 25, 2024",GSW,V,Fora,18,7,2,8,3,41
"NOV 24, 2024",SAC,V,Fora,7,4,2,3,2,33
"NOV 22, 2024",PHI,D,Fora,6,6,1,3,0,21
"NOV 19, 2024",CHA,V,Casa,17,1,0,8,5,34
"NOV 17, 2024",NYK,D,Fora,15,6,0,5,3,25
"NOV 15, 2024",NYK,D,Fora,6,2,1,4,2,16
"NOV 13, 2024",BOS,D,Casa,11,5,4,1,1,22
"NOV 11, 2024",NOP,V,Fora,10,1,2,4,1,23
"NOV 09, 2024",CLE,D,Fora,2,3,1,2,0,10
"NOV 08, 2024",BOS,D,Fora,8,2,1,4,0,25
"NOV 04, 2024",MEM,V,Casa,13,6,4,6,0,28
"NOV 03, 2024",DET,D,Casa,8,3,2,1,1,22
"NOV 01, 2024",CHI,V,Casa,7,1,3,5,1,22
"OCT 30, 2024",MEM,V,Fora,12,7,2,3,1,27
"OCT 29, 2024",DEN,D,Casa,11,6,2,5,2,21
"OCT 27, 2024",MIL,V,Casa,2,1,2,0,0,14
"OCT 25, 2024",ORL,D,Fora,0,1,2,2,0,13
"OCT 23, 2024",ATL,D,Fora,16,4,1,5,2,34
