Data do Jogo,Adversário,V ou D,Casa/Fora,PTS,REB,AST,Tentativas de Cestas de 3 PTS,Cestas de 3 PTS Marcados,Tempo de Permanência do Jogador em Quadra
"JAN 22, 2025",PHX,D,Casa,20,7,2,4,1,30
"JAN 21, 2025",NYK,D,Casa,7,3,2,3,1,27
"JAN 19, 2025",OKC,D,Fora,6,1,4,4,0,23
"JAN 17, 2025",LAL,D,Fora,13,1,1,2,1,19
"JAN 15, 2025",LAC,D,Fora,6,0,0,3,0,22
"JAN 14, 2025",POR,V,Fora,20,3,4,6,3,29
"JAN 12, 2025",UTA,D,Fora,8,4,3,7,2,21
"JAN 10, 2025",DEN,D,Fora,22,4,4,12,4,36
"JAN 08, 2025",DET,D,Casa,10,1,3,4,2,28
"JAN 06, 2025",IND,D,Casa,12,4,5,3,2,32
"JAN 04, 2025",PHI,D,Casa,15,8,8,5,2,36
"JAN 02, 2025",MIL,V,Fora,9,9,1,2,1,28
"JAN 01, 2025",TOR,D,Fora,17,1,0,12,3,29
"DEC 29, 2024",ORL,D,Fora,14,3,2,5,1,33
"DEC 27, 2024",SAS,D,Casa,25,4,3,10,4,37
"DEC 26, 2024",MIL,V,Fora,12,4,1,9,2,30
"DEC 23, 2024",MIA,D,Fora,15,5,2,5,2,28
"DEC 21, 2024",UTA,D,Casa,8,8,1,9,0,29
"DEC 19, 2024",TOR,V,Fora,0,1,0,2,0,8
"DEC 16, 2024",CLE,D,Casa,5,4,2,4,1,24
"DEC 13, 2024",MEM,D,Fora,12,2,1,6,3,23
"DEC 08, 2024",MIL,D,Casa,6,0,0,5,2,21
"DEC 04, 2024",IND,V,Casa,4,5,2,3,0,23
"DEC 02, 2024",CHI,D,Fora,8,3,3,6,2,30
"DEC 01, 2024",ORL,D,Casa,12,4,2,8,2,32
"NOV 29, 2024",ORL,D,Casa,15,6,1,9,3,28
"NOV 27, 2024",PHX,V,Fora,4,3,1,3,0,20
"NOV 25, 2024",GSW,V,Fora,8,2,0,7,2,30
"NOV 24, 2024",SAC,V,Fora,6,0,1,2,2,9
"NOV 19, 2024",CHA,V,Casa,0,3,1,2,0,10
"NOV 17, 2024",NYK,D,Fora,0,1,2,2,0,11
"NOV 15, 2024",NYK,D,Fora,7,3,1,3,1,12
"NOV 13, 2024",BOS,D,Casa,12,5,0,8,4,23
"NOV 11, 2024",NOP,V,Fora,5,4,2,4,1,18
"NOV 09, 2024",CLE,D,Fora,6,4,2,6,2,12
"NOV 08, 2024",BOS,D,Fora,3,2,1,3,0,16
"NOV 04, 2024",MEM,V,Casa,6,4,3,3,2,21
"NOV 03, 2024",DET,D,Casa,5,1,0,0,0,13
"NOV 01, 2024",CHI,V,Casa,12,3,1,2,2,9
"OCT 30, 2024",MEM,V,Fora,4,7,1,2,0,16
"OCT 29, 2024",DEN,D,Casa,0,1,0,1,0,7
"OCT 27, 2024",MIL,V,Casa,0,2,0,2,0,10
"OCT 25, 2024",ORL,D,Fora,2,0,0,2,0,2
