Data do Jogo,Adversário,V ou D,Casa/Fora,PTS,REB,AST,Tentativas de Cestas de 3 PTS,Cestas de 3 PTS Marcados,Tempo de Permanência do Jogador em Quadra
"JAN 22, 2025",PHX,D,Casa,10,12,2,0,0,26
"JAN 21, 2025",NYK,D,Casa,8,12,2,1,0,34
"JAN 19, 2025",OKC,D,Fora,11,5,0,0,0,25
"JAN 17, 2025",LAL,D,Fora,7,8,2,0,0,30
"JAN 15, 2025",LAC,D,Fora,2,5,2,0,0,17
"JAN 12, 2025",UTA,D,Fora,14,12,4,0,0,37
"JAN 10, 2025",DEN,D,Fora,10,6,1,0,0,27
"JAN 08, 2025",DET,D,Casa,14,6,3,1,0,30
"JAN 06, 2025",IND,D,Casa,4,7,3,1,0,26
"JAN 04, 2025",PHI,D,Casa,10,5,0,1,0,23
"JAN 02, 2025",MIL,V,Fora,16,11,2,0,0,33
"JAN 01, 2025",TOR,D,Fora,16,10,4,1,0,30
"DEC 29, 2024",ORL,D,Fora,6,5,1,0,0,32
"DEC 27, 2024",SAS,D,Casa,11,10,0,2,0,33
"DEC 26, 2024",MIL,V,Fora,13,7,3,2,0,31
"DEC 23, 2024",MIA,D,Fora,6,10,2,0,0,28
"DEC 21, 2024",UTA,D,Casa,10,5,0,0,0,26
"DEC 19, 2024",TOR,V,Fora,7,5,0,0,0,11
"DEC 16, 2024",CLE,D,Casa,8,4,2,0,0,23
"DEC 13, 2024",MEM,D,Fora,8,7,1,1,0,28
"DEC 08, 2024",MIL,D,Casa,21,10,4,1,0,33
"DEC 04, 2024",IND,V,Casa,16,8,2,1,1,25
"DEC 02, 2024",CHI,D,Fora,11,8,0,0,0,24
"DEC 01, 2024",ORL,D,Casa,9,7,0,1,0,28
"NOV 29, 2024",ORL,D,Casa,8,7,2,0,0,26
"NOV 24, 2024",SAC,V,Fora,4,7,3,0,0,23
"NOV 22, 2024",PHI,D,Fora,12,8,3,0,0,22
"NOV 13, 2024",BOS,D,Casa,3,5,2,0,0,24
"NOV 11, 2024",NOP,V,Fora,13,9,3,0,0,32
"NOV 09, 2024",CLE,D,Fora,10,10,4,0,0,32
"NOV 08, 2024",BOS,D,Fora,2,10,3,0,0,28
"NOV 04, 2024",MEM,V,Casa,10,8,3,0,0,27
"NOV 03, 2024",DET,D,Casa,8,1,5,0,0,22
"NOV 01, 2024",CHI,V,Casa,12,9,2,0,0,24
"OCT 29, 2024",DEN,D,Casa,16,12,2,0,0,26
"OCT 27, 2024",MIL,V,Casa,10,11,1,0,0,22
"OCT 25, 2024",ORL,D,Fora,4,5,3,0,0,20
"OCT 23, 2024",ATL,D,Fora,7,5,0,0,0,15
