Data do Jogo,Adversário,V ou D,Casa/Fora,PTS,REB,AST,Tentativas de Cestas de 3 PTS,Cestas de 3 PTS Marcados,Tempo de Permanência do Jogador em Quadra
"JAN 22, 2025",PHX,D,Casa,4,3,3,2,0,21
"JAN 19, 2025",OKC,D,Fora,3,0,2,0,0,5
"JAN 15, 2025",LAC,D,Fora,5,4,3,3,1,21
"JAN 14, 2025",POR,V,Fora,0,0,1,0,0,1
"JAN 12, 2025",UTA,D,Fora,4,1,2,4,1,12
"JAN 10, 2025",DEN,D,Fora,3,1,2,1,1,12
"JAN 08, 2025",DET,D,Casa,2,1,5,0,0,24
"JAN 06, 2025",IND,D,Casa,9,0,0,2,1,18
"JAN 04, 2025",PHI,D,Casa,7,1,0,1,0,18
"JAN 01, 2025",TOR,D,Fora,1,0,1,0,0,4
"DEC 27, 2024",SAS,D,Casa,0,0,1,2,0,14
"DEC 26, 2024",MIL,V,Fora,0,0,0,0,0,1
"DEC 23, 2024",MIA,D,Fora,0,0,0,0,0,2
"DEC 19, 2024",TOR,V,Fora,0,0,0,0,0,4
"OCT 30, 2024",NOP,V,Casa,2,1,0,0,0,1
"OCT 29, 2024",NOP,V,Casa,0,0,1,0,0,3
