Data do Jogo,Adversário,V ou D,Casa/Fora,PTS,REB,AST,Tentativas de Cestas de 3 PTS,Cestas de 3 PTS Marcados,Tempo de Permanência do Jogador em Quadra
"JAN 22, 2025",PHX,D,Casa,6,3,2,5,0,26
"JAN 21, 2025",NYK,D,Casa,5,6,1,2,0,20
"JAN 19, 2025",OKC,D,Fora,9,4,2,3,1,21
"JAN 17, 2025",LAL,D,Fora,15,6,2,4,1,27
"JAN 15, 2025",LAC,D,Fora,7,3,2,1,0,29
"JAN 14, 2025",POR,V,Fora,10,4,1,2,1,18
"JAN 12, 2025",UTA,D,Fora,22,5,1,3,2,24
"JAN 10, 2025",DEN,D,Fora,10,2,1,5,2,22
"JAN 08, 2025",DET,D,Casa,13,7,1,1,0,29
"JAN 06, 2025",IND,D,Casa,8,6,1,1,0,24
"JAN 04, 2025",PHI,D,Casa,3,1,1,4,1,21
