Data do Jogo,Adversário,V ou D,Casa/Fora,PTS,REB,AST,Tentativas de Cestas de 3 PTS,Cestas de 3 PTS Marcados,Tempo de Permanência do Jogador em Quadra
"DEC 16, 2024",CLE,D,Casa,8,0,0,1,1,10
"DEC 13, 2024",MEM,D,Fora,0,0,0,0,0,0
"DEC 08, 2024",MIL,D,Casa,4,3,2,0,0,13
"DEC 04, 2024",IND,V,Casa,9,3,0,4,1,21
"DEC 02, 2024",CHI,D,Fora,12,5,1,2,1,17
"DEC 01, 2024",ORL,D,Casa,13,3,1,2,1,25
"NOV 29, 2024",ORL,D,Casa,13,3,1,2,0,20
"NOV 27, 2024",PHX,V,Fora,18,2,3,6,2,22
"NOV 25, 2024",GSW,V,Fora,8,4,1,3,2,18
"NOV 24, 2024",SAC,V,Fora,3,3,0,1,0,15
"NOV 22, 2024",PHI,D,Fora,6,3,2,3,0,16
"NOV 19, 2024",CHA,V,Casa,10,4,1,1,0,19
"NOV 17, 2024",NYK,D,Fora,4,3,3,1,0,13
