Data do Jogo,Adversário,V ou D,Casa/Fora,PTS,REB,AST,Tentativas de Cestas de 3 PTS,Cestas de 3 PTS Marcados,Tempo de Permanência do Jogador em Quadra
"JAN 22, 2025",PHX,D,Casa,2,7,2,5,0,31
"JAN 21, 2025",NYK,D,Casa,13,7,1,6,3,24
"JAN 19, 2025",OKC,D,Fora,15,6,2,7,3,24
"JAN 17, 2025",LAL,D,Fora,3,0,1,2,1,14
"JAN 15, 2025",LAC,D,Fora,8,4,4,8,2,37
"JAN 14, 2025",POR,V,Fora,5,1,3,3,1,20
"JAN 12, 2025",UTA,D,Fora,11,8,3,6,1,35
"JAN 10, 2025",DEN,D,Fora,19,4,2,9,4,32
"JAN 08, 2025",DET,D,Casa,12,10,4,9,4,33
"JAN 06, 2025",IND,D,Casa,15,5,1,3,1,30
"JAN 04, 2025",PHI,D,Casa,16,5,3,7,1,29
"JAN 02, 2025",MIL,V,Fora,0,0,3,1,0,15
"JAN 01, 2025",TOR,D,Fora,2,4,4,2,0,20
"DEC 29, 2024",ORL,D,Fora,4,5,1,1,0,20
"DEC 27, 2024",SAS,D,Casa,13,6,0,7,1,19
"DEC 26, 2024",MIL,V,Fora,5,5,2,2,0,17
"DEC 23, 2024",MIA,D,Fora,14,5,2,5,4,22
"DEC 21, 2024",UTA,D,Casa,7,4,3,7,1,22
"DEC 19, 2024",TOR,V,Fora,7,4,0,4,1,15
"DEC 16, 2024",CLE,D,Casa,3,3,2,4,1,18
"DEC 02, 2024",CHI,D,Fora,15,5,2,8,3,33
"DEC 01, 2024",ORL,D,Casa,0,1,2,0,0,8
"NOV 29, 2024",ORL,D,Casa,8,2,1,4,2,25
"NOV 27, 2024",PHX,V,Fora,30,4,2,10,8,28
"NOV 25, 2024",GSW,V,Fora,3,6,3,5,1,18
"NOV 17, 2024",NYK,D,Fora,3,1,0,1,1,1
"NOV 13, 2024",BOS,D,Casa,6,0,0,5,2,17
"NOV 03, 2024",DET,D,Casa,0,1,0,0,0,2
"OCT 30, 2024",MEM,V,Fora,0,0,0,0,0,1
