Data do Jogo,Adversário,V ou D,Casa/Fora,PTS,REB,AST,Tentativas de Cestas de 3 PTS,Cestas de 3 PTS Marcados,Tempo de Permanência do Jogador em Quadra
"JAN 19, 2025",OKC,D,Fora,7,5,2,4,1,23
"JAN 17, 2025",LAL,D,Fora,15,4,3,9,3,25
"JAN 15, 2025",LAC,D,Fora,4,4,0,1,0,21
"JAN 14, 2025",POR,V,Fora,13,7,1,4,3,28
"JAN 12, 2025",UTA,D,Fora,19,6,2,7,3,32
"JAN 10, 2025",DEN,D,Fora,10,5,3,6,2,23
"JAN 08, 2025",DET,D,Casa,11,5,3,7,1,28
"JAN 06, 2025",IND,D,Casa,10,8,4,5,2,26
"JAN 04, 2025",PHI,D,Casa,19,3,2,6,4,22
"JAN 02, 2025",MIL,V,Fora,8,6,1,4,2,19
"DEC 01, 2024",ORL,D,Casa,1,5,1,4,0,22
"NOV 29, 2024",ORL,D,Casa,5,3,0,2,1,21
"NOV 27, 2024",PHX,V,Fora,10,4,2,1,0,25
"NOV 25, 2024",GSW,V,Fora,19,10,4,3,2,37
"NOV 24, 2024",SAC,V,Fora,6,2,0,5,1,20
"NOV 22, 2024",PHI,D,Fora,2,0,1,1,0,11
"NOV 19, 2024",CHA,V,Casa,4,2,2,2,0,17
"NOV 17, 2024",NYK,D,Fora,7,3,1,4,0,24
"NOV 15, 2024",NYK,D,Fora,9,8,1,4,1,28
"NOV 13, 2024",BOS,D,Casa,23,6,1,5,2,26
"NOV 11, 2024",NOP,V,Fora,12,9,0,7,2,28
"NOV 09, 2024",CLE,D,Fora,0,3,0,2,0,20
"NOV 08, 2024",BOS,D,Fora,9,12,1,3,0,23
"NOV 04, 2024",MEM,V,Casa,2,2,1,2,0,21
"NOV 03, 2024",DET,D,Casa,4,2,0,3,0,16
"NOV 01, 2024",CHI,V,Casa,10,3,0,2,0,20
"OCT 30, 2024",MEM,V,Fora,17,1,3,4,1,24
"OCT 29, 2024",DEN,D,Casa,18,3,4,5,4,22
"OCT 27, 2024",MIL,V,Casa,7,4,0,2,1,18
"OCT 25, 2024",ORL,D,Fora,7,7,1,2,1,19
"OCT 23, 2024",ATL,D,Fora,9,3,1,3,2,16
