id,full_name,abbreviation,nickname,city,state,year_founded,conference
1610612737,Atlanta Hawks,ATL,Hawks,Atlanta,Georgia,1949,East
1610612738,Boston Celtics,BOS,Celtics,Boston,Massachusetts,1946,East
1610612739,Cleveland Cavaliers,CLE,Cavaliers,Cleveland,Ohio,1970,East
1610612741,Chicago Bulls,CHI,Bulls,Chicago,Illinois,1966,East
1610612748,Miami Heat,MIA,Heat,Miami,Florida,1988,East
1610612749,Milwaukee Bucks,MIL,Bucks,Milwaukee,Wisconsin,1968,East
1610612751,Brooklyn Nets,BKN,Nets,Brooklyn,New York,1976,East
1610612752,New York Knicks,NYK,Knicks,New York,New York,1946,East
1610612753,Orlando Magic,ORL,Magic,Orlando,Florida,1989,East
1610612754,Indiana Pacers,IND,Pacers,Indiana,Indiana,1976,East
1610612755,Philadelphia 76ers,PHI,76ers,Philadelphia,Pennsylvania,1949,East
1610612761,Toronto Raptors,TOR,Raptors,Toronto,Ontario,1995,East
1610612764,Washington Wizards,WAS,Wizards,Washington,District of Columbia,1961,East
1610612765,Detroit Pistons,DET,Pistons,Detroit,Michigan,1948,East
1610612766,Charlotte Hornets,CHA,Hornets,Charlotte,North Carolina,1988,East
